['Round'],['offer->ask'],['max_profit'],['deviation'],['max_offer_amount'],['max_ask_amount'],['KRT.pool'],['UST.pool'],['KRT_profit'],['UST_profit']
100243,KRT->UST,0.1532168305330521,0.13751611516973863,2102001,1749.4120892669941,10003426702,19997439.997872863,328406.04139173485,1871.61360048837
100590,UST->KRT,3.6044528178246433,-0.12379935965848841,158.30000000000015,189728.43958838558,9999810271.560411,20000158.3,328409.64584455267,1871.61360048837
100593,UST->KRT,3.416596017330585,-0.12369902746971893,154.10000000000014,184694.67652259313,9999815305.323477,20000154.1,328413.06244057,1871.61360048837
100943,KRT->UST,2.4895233581098302e-05,0.12022327179047582,26801,22.307340725944485,10000026801,19999977.692659274,328413.06244057,1871.6136253836034
101302,KRT->UST,5.0194792804588,0.22025480457784105,12036601,10013.436206665741,10012036601,19989986.563793335,328413.06244057,1876.6331046640623
101433,UST->KRT,41.83979007595873,-0.13294450638992897,539.4000000000004,646461.369571903,9999353538.630428,20000539.4,328454.90223064594,1876.6331046640623
101655,KRT->UST,0.7417636751457279,0.1585397206272953,4625701,3849.382320301744,10004625701,19996150.617679697,328454.90223064594,1877.374868339208
101886,UST->KRT,17.377388235849075,-0.1283422459893048,347.6000000000003,416602.0578162734,9999583397.942184,20000347.6,328472.27961888176,1877.374868339208
101899,UST->KRT,16.743559113990276,-0.1281886937572106,341.20000000000033,408931.9085750021,9999591068.091425,20000341.2,328489.02317799575,1877.374868339208
101913,UST->KRT,3.911959921287512,-0.12395811070742,164.90000000000015,197638.6284280415,9999802361.371572,20000164.9,328492.93513791705,1877.374868339208
101914,UST->KRT,447.87489393521537,-0.16235153379474185,1765.0000000000016,2115009.902591753,9997884990.097408,20001765.0,328940.8100318523,1877.374868339208
102361,KRT->UST,5.412830292537274,0.2241089514286867,12499601,10398.412388753415,10012499601,19989601.587611247,328940.8100318523,1882.7876986317453
102944,KRT->UST,0.0010557569992977636,0.12145397761775514,174501,145.24194169522224,10000174501,19999854.758058306,328940.8100318523,1882.7887543887446
102977,UST->KRT,52.09163978374775,-0.13444357706654367,601.9000000000005,721361.0989279395,9999278638.901072,20000601.9,328992.90167163603,1882.7887543887446
103067,UST->KRT,9.003526641674796,-0.12600477949163982,250.20000000000022,299870.69786488067,9999700129.302135,20000250.2,329001.90519827773,1882.7887543887446
104479,UST->KRT,28.26451099489838,-0.1306392614527086,443.3000000000004,531293.3513611086,9999468706.64864,20000443.3,329030.1697092726,1882.7887543887446
104487,KRT->UST,0.20014475183342617,0.14001925264723103,2402501,1999.4812686767277,10002402501,19998000.518731322,329030.1697092726,1882.988899140578
104714,UST->KRT,12.423635548076248,-0.1270536692223479,293.90000000000026,352244.34612041945,9999647755.65388,20000293.9,329042.5933448207,1882.988899140578
104715,UST->KRT,887.552360858014,-0.17961973188468894,2484.9000000000024,2977412.8391387756,9996920342.814741,20002484.9,329930.14570567873,1882.988899140578
104729,KRT->UST,0.06642287830938197,0.13153279551034722,1384001,1151.8836605167999,10001384001,19998848.116339482,329930.14570567873,1883.0553220188874
104820,UST->KRT,101.11715146049038,-0.14012348382010853,838.6000000000007,1005011.1581955361,9998994988.841805,20000838.6,330031.2628571392,1883.0553220188874
104821,UST->KRT,149.59027916907448,-0.14447703690730385,1019.9000000000009,1222261.562797335,9998022727.279007,20001358.5,330180.8531363083,1883.0553220188874
105185,UST->KRT,283.65365336087956,-0.1537042729787888,1404.6000000000013,1683213.3261101386,9998316786.67389,20001404.6,330464.5067896692,1883.0553220188874
105351,UST->KRT,383.57011528669693,-0.15919342000530243,1633.4000000000015,1957343.7879291845,9998042656.21207,20001633.4,330848.0769049559,1883.0553220188874
105356,UST->KRT,379.83642353882,-0.15900357758049155,1625.4000000000015,1947759.034064612,9997344897.178005,20001625.4,331227.9133284947,1883.0553220188874
105526,UST->KRT,15.918795397323485,-0.12798446533386693,332.7000000000003,398744.9733785739,9999601255.02662,20000332.7,331243.83212389203,1883.0553220188874
105538,KRT->UST,2.4362671052427856,0.18984547461369455,8384401,6976.176375734957,10008384401,19993023.823624264,331243.83212389203,1885.49158912413
105835,UST->KRT,3.4225164689016654,-0.1237022310581039,154.30000000000013,184934.37964091965,9999815065.62036,20000154.3,331247.25464036094,1885.49158912413
105867,KRT->UST,0.22921766379542016,0.141423962522662,2571101,2139.783556908196,10002571101,19997860.21644309,331247.25464036094,1885.7208067879255
105891,KRT->UST,1.6354653344782635,0.17722640673460346,6869101,5715.743848736015,10006869101,19994284.256151263,331247.25464036094,1887.3562721224039
106125,UST->KRT,66.87815222462109,-0.13636563585977934,682.0000000000006,817350.9476250199,9999182649.052376,20000682.0,331314.1327925856,1887.3562721224039
106244,KRT->UST,0.9259795627068417,0.1630602441496749,5168301,4300.821921767737,10005168301,19995699.17807823,331314.1327925856,1888.2822516851106
